base_currency,target_currency,exchange_rate
EUR,EUR,1
EUR,USD,1.0918
EUR,JPY,163.5
EUR,BGN,1.9558
EUR,CZK,25.038
EUR,DKK,7.4598
EUR,GBP,0.84173
EUR,HUF,397.33
EUR,PLN,4.175
EUR,RON,4.9774
EUR,SEK,10.997
EUR,CHF,0.9601
EUR,ISK,145.7
EUR,NOK,11.528
EUR,TRY,40.02
EUR,AUD,1.7147
EUR,BRL,6.2091
EUR,CAD,1.5599
EUR,CNY,7.8907
EUR,HKD,8.4833
EUR,IDR,18028.24
EUR,ILS,3.9844
EUR,INR,94.5045
EUR,KRW,1586.67
EUR,MXN,21.8986
EUR,MYR,4.8531
EUR,NZD,1.8777
EUR,PHP,62.541
EUR,SGD,1.4544
EUR,THB,36.646
EUR,ZAR,19.7084
USD,EUR,0.9159186664224216
USD,USD,1.0
USD,JPY,149.75270196006593
USD,BGN,1.7913537277889722
USD,CZK,22.932771569884594
USD,DKK,6.832570067777981
USD,GBP,0.7709562190877449
USD,HUF,363.92196372962076
USD,PLN,3.82396043231361
USD,RON,4.558893570250961
USD,SEK,10.07235757464737
USD,CHF,0.8793735116321669
USD,ISK,133.4493496977468
USD,NOK,10.558710386517676
USD,TRY,36.655065030225316
USD,AUD,1.5705257373145263
USD,BRL,5.687030591683458
USD,CAD,1.4287415277523354
USD,CNY,7.2272394211394015
USD,HKD,7.770012822861329
USD,IDR,16512.40153874336
USD,ILS,3.6493863344934967
USD,INR,86.55843561091774
USD,KRW,1453.2606704524637
USD,MXN,20.05733650851804
USD,MYR,4.445044880014654
USD,NZD,1.719820479941381
USD,PHP,57.282469316724665
USD,SGD,1.3321121084447698
USD,THB,33.56475544971606
USD,ZAR,18.051291445319656
JPY,EUR,0.0061162079510703364
JPY,USD,0.006677675840978594
JPY,JPY,1.0
JPY,BGN,0.011962079510703364
JPY,CZK,0.15313761467889908
JPY,DKK,0.045625688073394496
JPY,GBP,0.005148195718654434
JPY,HUF,2.4301529051987765
JPY,PLN,0.025535168195718654
JPY,RON,0.030442813455657493
JPY,SEK,0.06725993883792049
JPY,CHF,0.005872171253822629
JPY,ISK,0.891131498470948
JPY,NOK,0.07050764525993884
JPY,TRY,0.2447706422018349
JPY,AUD,0.010487461773700305
JPY,BRL,0.037976146788990826
JPY,CAD,0.009540672782874618
JPY,CNY,0.0482611620795107
JPY,HKD,0.051885626911314986
JPY,IDR,110.26446483180429
JPY,ILS,0.024369418960244648
JPY,INR,0.5780091743119266
JPY,KRW,9.70440366972477
JPY,MXN,0.13393639143730887
JPY,MYR,0.02968256880733945
JPY,NZD,0.01148440366972477
JPY,PHP,0.3825137614678899
JPY,SGD,0.008895412844036697
JPY,THB,0.22413455657492357
JPY,ZAR,0.12054067278287463
BGN,EUR,0.5112997238981491
BGN,USD,0.5582370385519992
BGN,JPY,83.59750485734737
BGN,BGN,1.0
BGN,CZK,12.801922486961857
BGN,DKK,3.814193680335413
BGN,GBP,0.43037631659678904
BGN,HUF,203.15471929645156
BGN,PLN,2.1346763472747723
BGN,RON,2.5449432457306473
BGN,SEK,5.6227630637079455
BGN,CHF,0.49089886491461293
BGN,ISK,74.49636977196032
BGN,NOK,5.894263217097863
BGN,TRY,20.46221495040393
BGN,AUD,0.8767256365681562
BGN,BRL,3.1747111156559975
BGN,CAD,0.7975764393087228
BGN,CNY,4.034512731363125
BGN,HKD,4.337508947745168
BGN,IDR,9217.834134369568
BGN,ILS,2.037222619899785
BGN,INR,48.320124757132625
BGN,KRW,811.2639329174763
BGN,MXN,11.196748133756007
BGN,MYR,2.4813886900501076
BGN,NZD,0.9600674915635545
BGN,PHP,31.97719603231414
BGN,SGD,0.743634318437468
BGN,THB,18.73708968197157
BGN,ZAR,10.076899478474282
CZK,EUR,0.039939292275740876
CZK,USD,0.04360571930665389
CZK,JPY,6.530074287083633
CZK,BGN,0.078113267832894
CZK,CZK,1.0
CZK,DKK,0.2979391325185718
CZK,GBP,0.03361810048725936
CZK,HUF,15.86907899992012
CZK,PLN,0.16674654525121815
CZK,RON,0.19879383337327264
CZK,SEK,0.4392123971563224
CZK,CHF,0.03834571451393881
CZK,ISK,5.819154884575445
CZK,NOK,0.4604201613547408
CZK,TRY,1.5983704768751499
CZK,AUD,0.06848390446521287
CZK,BRL,0.24798705966930268
CZK,CAD,0.06230130202092819
CZK,CNY,0.3151489735601885
CZK,HKD,0.33881699816279254
CZK,IDR,720.0351465772027
CZK,ILS,0.15913411614346193
CZK,INR,3.774442846872753
CZK,KRW,63.37047687514978
CZK,MXN,0.874614585829539
CZK,MYR,0.19382937934339806
CZK,NZD,0.07499400910615864
CZK,PHP,2.49784327821711
CZK,SGD,0.05808770668583752
CZK,THB,1.4636153047368001
CZK,ZAR,0.7871395478872115
DKK,EUR,0.13405185125606583
DKK,USD,0.1463578112013727
DKK,JPY,21.917477680366765
DKK,BGN,0.2621786106866136
DKK,CZK,3.3563902517493767
DKK,DKK,1.0
DKK,GBP,0.11283546475776829
DKK,HUF,53.262822059572635
DKK,PLN,0.5596664789940748
DKK,RON,0.6672296844419422
DKK,SEK,1.474168208262956
DKK,CHF,0.1287031823909488
DKK,ISK,19.53135472800879
DKK,NOK,1.545349741279927
DKK,TRY,5.364755087267755
DKK,AUD,0.22985870934877609
DKK,BRL,0.8323413496340384
DKK,CAD,0.2091074827743371
DKK,CNY,1.0577629427062387
DKK,HKD,1.1372020697605834
DKK,IDR,2416.718946888657
DKK,ILS,0.5341161961446688
DKK,INR,12.668503177028873
DKK,KRW,212.696050832462
